hname,shcode,expcode,etfchk,filler,gubun
신한 인버스 은 선물 ETN(H),500007,KRG501100074,0,,1
신한 인버스 구리 선물 ETN(H),500008,KRG502400085,0,,1
신한 다우존스지수 선물 ETN(H),500009,KRG502400093,0,,1
신한 인버스 다우존스지수 선물 ETN(H),500010,KRG502400101,0,,1
신한 달러인덱스 선물 ETN(H),500011,KRG502400119,0,,1
신한 인버스 달러인덱스 선물 ETN(H),500012,KRG502400127,0,,1
신한 옥수수 선물 ETN(H),500013,KRG502400135,0,,1
신한 인버스 옥수수 선물 ETN(H),500014,KRG502400143,0,,1
신한 WTI원유 선물 ETN(H),500015,KRG502400150,0,,1
신한 금 선물 ETN(H),500016,KRG502400168,0,,1
신한 은 선물 ETN(H),500017,KRG502400176,0,,1
신한 구리 선물 ETN(H),500018,KRG502400184,0,,1
신한 레버리지 WTI원유 선물 ETN(H),500019,KRG502400192,0,,1
신한 레버리지 다우존스지수 선물 ETN(H),500020,KRG502100206,0,,1
신한 콩 선물 ETN(H),500023,KRG502400234,0,,1
신한 인버스 콩 선물 ETN(H),500024,KRG502400242,0,,1
신한 인버스 2X WTI원유 선물 ETN(H),500027,KRG502400275,0,,1
신한 인버스 2X 다우존스지수 선물 ETN(H),500028,KRG502100289,0,,1
신한 레버리지 은 선물 ETN(H),500029,KRG502400291,0,,1
신한 인버스 2X 은 선물 ETN(H),500030,KRG502400309,0,,1
신한 레버리지 미국달러 선물 ETN,500035,KRG501500356,0,,1
신한 인버스 2X 미국달러 선물 ETN,500036,KRG501500364,0,,1
신한 레버리지 금 선물 ETN,500037,KRG502400374,0,,1
신한 인버스 2X 금 선물 ETN,500038,KRG502400382,0,,1
신한 레버리지 구리 선물 ETN,500040,KRG502400408,0,,1
신한 인버스 2X 구리 선물 ETN,500041,KRG502400416,0,,1
신한 레버리지 S&P500 선물 ETN,500050,KRG502100503,0,,1
신한 인버스 2X S&P500 선물 ETN,500051,KRG502100511,0,,1
신한 인버스 Russell 2000 ETN,500055,KRG500000556,0,,1
신한 레버리지 Russell 2000 ETN,500056,KRG500000564,0,,1
신한 인버스 2X Russell 2000 ETN,500057,KRG500000572,0,,1
신한 FnGuide 메타버스 ETN,500059,KRG500000598,0,,1
신한 코스피 200 ETN,500060,KRG500000606,0,,1
신한 인버스 코스피 200 선물 ETN,500061,KRG500000614,0,,1
신한 코스닥 150 ETN,500062,KRG500000622,0,,1
신한 인버스 코스닥 150 선물 ETN,500063,KRG500000630,0,,1
신한 FnGuide 폐기물처리 ETN,500064,KRG500000648,0,,1
신한 블룸버그 레버리지 WTI원유 선물 ETN,500065,KRG500000655,0,,1
신한 블룸버그 인버스 2X WTI원유 선물 ETN,500066,KRG500000663,0,,1
신한 레버리지 10년 국채선물 ETN,500067,KRG500000671,0,,1
신한 인버스 2X 10년 국채선물 ETN,500068,KRG500000689,0,,1
신한 레버리지 코스피 200 선물 ETN,500069,KRG500000697,0,,1
신한 인버스 2X 코스피 200 선물 ETN,500070,KRG500000705,0,,1
신한 레버리지 코스닥 150 선물 ETN,500071,KRG500000713,0,,1
신한 인버스 2X 코스닥 150 선물 ETN,500072,KRG500000721,0,,1
신한 블룸버그 -2X 천연가스 선물 ETN(H),500074,KRG500000747,0,,1
신한 FnGuide 치킨 ETN,500075,KRG500000754,0,,1
신한 S&P500 VIX S/T 선물 ETN D,500076,KRG500000762,0,,1
신한 인버스0.5X S&P500 VIX S/T선물 ETN,500077,KRG500000770,0,,1
신한 S&P 유로 선물 ETN(H),500078,KRG500000788,0,,1
신한 S&P 인버스 유로 선물 ETN(H),500079,KRG500000796,0,,1
신한 S&P 레버리지 유로 선물 ETN(H),500080,KRG500000804,0,,1
신한 S&P 인버스 2X 유로 선물 ETN(H),500081,KRG500000812,0,,1
신한 블룸버그 2X 천연가스 선물 ETN,500082,KRG500000820,0,,1
신한 KOFR금리 ETN,500083,KRG500000838,0,,1
신한 미국달러 SOFR금리 플러스 ETN,500084,KRG500000846,0,,1
신한 코스피 200 TR ETN,500085,KRG500000853,0,,1
신한 코스닥 150 TR ETN,500086,KRG500000861,0,,1
대신 밀 선물 ETN(H),510015,KRG510000158,0,,1
대신 천연가스 선물 ETN(H),510016,KRG510000166,0,,1
대신 2X 철광석 선물 ETN(H),510017,KRG510000174,0,,1
대신 인버스 천연가스 선물 ETN(H),510019,KRG510000190,0,,1
대신 S&P WTI원유 선물 ETN,510022,KRG510000224,0,,1
대신 S&P500 VIX S/T 선물 ETN,510025,KRG510000257,0,,1
대신 레버리지 코스닥 150 선물 ETN,510026,KRG510000265,0,,1
